k,inertia,silhouette,avg_cluster_size,small_clusters,small_cluster_ratio,min_cluster_size,max_cluster_size,inertia_scaled,silhouette_scaled,balance_score,interpretability_score,elbow_curvature,elbow_scaled,selection_score
63,747.622164160577,0.11840191211487042,122.39682539682539,0,0.0,35,325,0.9187360407270788,0.9191707639422162,1.0,0.8159788359788359,0.004192100628039541,0.22582610044772236,0.7465216560856426
64,744.2812366453442,0.11959194423109594,120.484375,1,0.015625,25,403,0.9240931991538928,0.9320413630947761,0.984375,0.8032291666666667,0.004739661131429429,0.25532287645845414,0.754006639352524
65,743.89614187301,0.11552424671175705,118.63076923076923,1,0.015384615384615385,27,306,0.9247106964492773,0.8880478409608309,0.9846153846153847,0.7908717948717949,0.007180842418443745,0.38682793786968395,0.7674799670055995
66,739.0328009658873,0.1164861772137511,116.83333333333333,1,0.015151515151515152,27,352,0.9325090361631055,0.8984514441367303,0.9848484848484849,0.7788888888888889,0.004577054246147183,0.24656333510497938,0.7348244417339673
67,737.0238849705103,0.11507791527505366,115.08955223880596,1,0.014925373134328358,27,388,0.9357303216307866,0.8832206157686102,0.9850746268656716,0.7672636815920397,0.0022819542625286404,0.1229275912558176,0.6961246217333388
68,733.5918556048015,0.11590045268000017,113.3970588235294,2,0.029411764705882353,21,320,0.9412335613609963,0.8921166355337163,0.9705882352941176,0.7559803921568627,0.0051032439369324,0.2749088774736483,0.7330885794642517
69,726.9772494460478,0.1234597534549416,111.7536231884058,1,0.014492753623188406,25,346,0.9518400450281385,0.9738730258204714,0.9855072463768116,0.745024154589372,0.007786418642040438,0.41944998806189354,0.80326677980743
70,725.2185497611645,0.12141035950115261,110.15714285714286,1,0.014285714285714285,25,404,0.9546601100532401,0.9517081382302449,0.9857142857142858,0.7343809523809524,0.0010357430916401178,0.055794897165944074,0.7019319795835841
71,722.8139213361019,0.11824379188114933,108.6056338028169,1,0.014084507042253521,27,372,0.9585159181699819,0.9174606402250615,0.9859154929577465,0.724037558685446,0.003901539648212271,0.21017374406634715,0.7253164245009776
72,722.8424412564833,0.11632396942413996,107.09722222222223,2,0.027777777777777776,22,327,0.9584701866385115,0.8966971121224571,0.9722222222222222,0.7139814814814816,0.011748717084996474,0.6328967741905217,0.8184447050632799
73,715.5440148649009,0.12587548701985882,105.63013698630137,0,0.0,27,304,0.9701731721920375,1.0,1.0,0.7042009132420091,0.011337481769336133,0.6107437592841517,0.8583160768073392
74,715.316072819467,0.12017970052139651,104.20270270270271,1,0.013513513513513514,26,324,0.9705386759762273,0.9383981458308991,0.9864864864864865,0.6946846846846848,0.011888517174881374,0.6404277263174301,0.8369661899117172
75,707.673999814964,0.12315493780777742,102.81333333333333,0,0.0,26,312,0.9827926969352986,0.9705763416750707,1.0,0.6854222222222222,0.016213168100826736,0.873394236680182,0.9093924291734071
76,710.1430743819099,0.12384458320705274,101.46052631578948,1,0.013157894736842105,25,260,0.9788335497935431,0.9780350895277191,0.9868421052631579,0.6764035087719298,0.011724618507233386,0.6315985973752578,0.8479426325233232
77,705.3002314254982,0.11719902069719759,100.14285714285714,1,0.012987012987012988,25,287,0.986599021159021,0.9061610871025472,0.987012987012987,0.6676190476190476,0.001557214816509389,0.08388628536719703,0.6809814607282727
78,701.4285267877825,0.1254753819681542,98.85897435897436,0,0.0,25,287,0.9928072777079895,0.995672728769928,1.0,0.6590598290598291,0.0102582945785199,0.5526085529570236,0.8352802041062014
79,703.9542843653337,0.11689626441244337,97.60759493670886,0,0.0,25,256,0.9887572396784381,0.902886675656956,1.0,0.650717299578059,0.015292798351113301,0.8238144364822487,0.8647158743200535
80,696.9428719125173,0.12353370780391461,96.3875,0,0.0,25,297,1.0,0.9746728670753771,1.0,0.6425833333333333,0.0,0.0,0.6862566468301509
